"","Word","VersionNum","WordType","Block","Word_ID_unique","RTclean_mean","RTclean_sd","Rtclean_n","zRTclean_mean","zRTclean_sd","zRTclean_n","ACC","ACC_n","Concrete_rating","num_boi_pexman","mean_rating_boi_pexman","sd_rating_boi_pexman","num_tillotson_boi","mean_rating_tillotson_boi","sd_rating_tillotson_boi","num_image","mean_rating_image","sd_rating_image
","num_boi","mean_rating_boi","sd_rating_boi","Lg10WF","Lg10CD","Dom_PoS_SUBTLEX","AoA_Kup_lem","group","level"
"1","acceptance","1","Abstract",4,10946,972.42,304.09,31,0.0226,0.924,31,1,31,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20951501454263,2.14921911265538,"Noun",8.56,NA,NA
"2","accord","1","Abstract",1,10174,1093.7,345.29,23,0.1691,0.997,23,0.7742,31,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92427928606188,1.82607480270083,"Noun",9.65,NA,NA
"3","activation","8","Abstract",4,80913,984.46,331.04,26,0.0325,0.9901,26,0.871,31,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64345267648619,1.53147891704226,"Noun",9.78,NA,NA
"4","advancement","4","Abstract",1,40185,1026.07,254.21,28,6e-04,0.7876,28,0.875,32,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80617997398389,1.77085201164214,"Noun",10.89,NA,NA
"5","agony","1","Abstract",2,10401,931.87,291.93,31,-0.1885,0.8492,31,1,31,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28330122870355,2.23552844690755,"Noun",9.22,NA,NA
"6","amorality","7","Abstract",4,70972,1120.26,513.37,31,0.4499,1.3542,31,1,31,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",15,NA,NA
"7","anonymity","8","Abstract",1,80148,953.38,279.34,29,-0.2677,0.6985,29,0.9355,31,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67209785793572,1.63346845557959,"Noun",13.44,NA,NA
"8","aspect","7","Abstract",2,70441,820.3,186.33,27,-0.4947,0.5386,27,0.9032,31,1.82,25,1.44,1.260952021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29666519026153,2.23552844690755,"Noun",10.35,NA,NA
"9","avoidance","6","Abstract",4,60930,928.45,350.83,31,-0.2493,0.8615,31,1,31,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43136376415899,1.39794000867204,"Noun",11.68,NA,NA
"10","breakup","2","Abstract",1,20247,1210.65,402.42,23,0.5114,1.0023,23,0.7097,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17609125905568,2.05690485133647,"Noun",9.2,NA,NA
"11","casualness","3","Abstract",2,30471,1167.35,463.88,31,0.3465,0.8742,31,1,31,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",11.05,NA,NA
"12","causation","5","Abstract",3,50661,1185.28,413.76,32,0.4948,1.193,32,1,32,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.954242509439325,"Noun",13.89,NA,NA
"13","cause","9","Abstract",2,90385,920.57,268.29,28,-0.169,0.7738,28,0.9667,30,2.43,23,1.608695652,1.196173081,30,1.4,0.77,NA,NA,NA,NA,NA,NA,4.19901427093462,3.69434191036418,"Noun",5.84,NA,NA
"14","caution","1","Abstract",3,10729,960.93,281.13,29,-0.0423,0.8563,29,0.9355,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.42160392686983,2.3541084391474,"Noun",6.22,NA,NA
"15","comparison","2","Abstract",4,20907,1086.28,495.95,29,0.2962,1.1501,29,0.9355,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27415784926368,2.25042000230889,"Noun",9.27,NA,NA
"16","concordance","1","Abstract",4,10883,1149.9,426.7,30,0.5069,0.958,30,0.9677,31,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",14.54,NA,NA
"17","condemnation","5","Abstract",4,50944,1090.06,401.52,31,0.3445,1.0223,31,1,32,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.30102999566398,"Noun",13.15,NA,NA
"18","craziness","7","Abstract",4,70979,907.29,206.77,31,-0.1008,0.7377,31,1,31,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81291335664286,1.76342799356294,"Noun",8.83,NA,NA
"19","curate","7","Abstract",4,70943,1109.76,347.26,17,0.3969,0.9155,17,0.5484,31,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.778151250383644,"Noun",15.67,NA,NA
"20","default","6","Abstract",3,60731,970.93,431.17,29,-0.1405,1.0594,29,0.9355,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7160033436348,1.68124123737559,"Noun",10.85,NA,NA
"21","depravity","10","Abstract",2,100476,992.5,418.56,30,0.0178,1.1581,30,0.9688,32,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54406804435028,1.50514997831991,"Noun",13.37,NA,NA
"22","diplomacy","1","Abstract",2,10378,1092.39,451.84,23,0.1884,1.2321,23,0.7097,31,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91381385238372,1.83250891270624,"Noun",10.89,NA,NA
"23","disarray","8","Abstract",2,80404,1015.86,389.87,29,0.0518,1.1473,29,0.9032,31,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.17609125905568,"Noun",12.4,NA,NA
"24","discomfort","5","Abstract",1,50168,971.4,314.13,25,0.0287,1.0245,25,0.8125,32,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91381385238372,1.85125834871908,"Noun",9.53,NA,NA
"25","dissenter","4","Abstract",3,40632,1078.53,384.98,17,0.6,1.0972,17,0.5313,32,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.301029995663981,"Noun",14.47,NA,NA
"26","distemper","8","Abstract",2,80429,1117.11,337.43,28,0.394,0.9171,28,0.9032,31,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Noun",13.83,NA,NA
"27","domineer","10","Abstract",1,100225,1349.53,516.89,19,1.0616,1.03,19,0.5938,32,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.477121254719662,"Noun",10.31,NA,NA
"28","drudgery","4","Abstract",1,40127,1146.81,431.01,26,0.2848,0.9829,26,0.875,32,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Noun",15.12,NA,NA
"29","dynasty","8","Abstract",3,80629,1147.6,354.26,20,0.6231,0.9677,20,0.6774,31,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11727129565576,1.92427928606188,"Noun",10.5,NA,NA
"30","ego","5","Abstract",4,50993,916.96,237.38,27,-0.0848,0.9831,27,0.8438,32,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58319877396862,2.49276038902684,"Noun",10.89,NA,NA
"31","elation","6","Abstract",3,60696,1022.26,349.24,27,-0.0076,0.908,27,0.9355,31,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.23044892137827,"Noun",11.41,NA,NA
"32","equity","3","Abstract",2,30480,1004,431.81,26,-0.0179,1.1331,26,0.8387,31,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83250891270624,1.68124123737559,"Noun",15.53,NA,NA
"33","falsehood","9","Abstract",1,90184,1060.54,364.69,28,-0.034,0.809,28,0.9667,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515823,1.04139268515823,"Noun",11.94,NA,NA
"34","fanaticism","5","Abstract",2,50471,1062.31,315.22,29,0.231,0.828,29,0.9063,32,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.845098040014257,"Noun",15,NA,NA
"35","fascination","6","Abstract",4,60950,1056.94,400.7,31,0.1188,0.9366,31,1,31,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95904139232109,1.85125834871908,"Noun",8.63,NA,NA
