"","word","is_concrete"
"1","alliteration",FALSE
"2","amorality",FALSE
"3","anonymity",FALSE
"4","bourgeoisie",FALSE
"5","candidacy",FALSE
"6","causation",FALSE
"7","comparison",FALSE
"8","condemnation",FALSE
"9","continuity",FALSE
"10","creation",FALSE
"11","cynicism",FALSE
"12","damnation",FALSE
"13","depiction",FALSE
"14","disappointment",FALSE
"15","dread",FALSE
"16","ego",FALSE
"17","egoism",FALSE
"18","euphemism",FALSE
"19","existence",FALSE
"20","fault",FALSE
"21","giddiness",FALSE
"22","heartbreak",FALSE
"23","ignoramus",FALSE
"24","infinitive",FALSE
"25","intention",FALSE
"26","lesbianism",FALSE
"27","malice",FALSE
"28","marxism",FALSE
"29","morale",FALSE
"30","motif",FALSE
"31","negation",FALSE
"32","penance",FALSE
"33","perversity",FALSE
"34","prominence",FALSE
"35","promptness",FALSE
"36","prowess",FALSE
"37","pureblood",FALSE
"38","qualifier",FALSE
"39","quirk",FALSE
"40","reconciliation",FALSE
"41","redemption",FALSE
"42","respect",FALSE
"43","romance",FALSE
"44","schemer",FALSE
"45","spidery",FALSE
"46","sustenance",FALSE
"47","tenure",FALSE
"48","thrill",FALSE
"49","upbringing",FALSE
"50","veneration",FALSE
"51","bobtail",TRUE
"52","clang",TRUE
"53","committee",TRUE
"54","featherweight",TRUE
"55","forger",TRUE
"56","freeloader",TRUE
"57","hemisphere",TRUE
"58","passageway",TRUE
"59","pueblo",TRUE
"60","shipment",TRUE
"61","watermark",TRUE
"62","wintertime",TRUE
"63","bellhop",TRUE
"64","chairperson",TRUE
"65","coolant",TRUE
"66","grandniece",TRUE
"67","harvest",TRUE
"68","horsehair",TRUE
"69","inkwell",TRUE
"70","kennel",TRUE
"71","landscape",TRUE
"72","millionaire",TRUE
"73","orthodontics",TRUE
"74","parchment",TRUE
"75","persimmon",TRUE
"76","prong",TRUE
"77","prosthesis",TRUE
"78","quicksand",TRUE
"79","schoolgirl",TRUE
"80","silversmith",TRUE
"81","talisman",TRUE
"82","bicep",TRUE
"83","binoculars",TRUE
"84","blackboard",TRUE
"85","blackhead",TRUE
"86","cayenne",TRUE
"87","cheerleader",TRUE
"88","drawers",TRUE
"89","grandma",TRUE
"90","photograph",TRUE
"91","pinecone",TRUE
"92","poster",TRUE
"93","pushcart",TRUE
"94","secretary",TRUE
"95","sketchpad",TRUE
"96","slacks",TRUE
"97","strainer",TRUE
"98","strings",TRUE
"99","textile",TRUE
"100","triceps",TRUE
